id,name,symbol,price,market_cap,percent_change_24h,volume_24h,extraction_timestamp,market_cap_category
1,Bitcoin,BTC,97387.40729067473,1926853677579.2803,2.99023821,97184612712.31213,2024-11-21 17:49:08.793684,Mega
1027,Ethereum,ETH,3356.3661490861223,404198920330.2298,7.76251413,45546374194.86026,2024-11-21 17:49:08.793684,Mega
825,Tether USDt,USDT,1.0003583662901587,130197693097.46593,-0.02194066,181101121451.0233,2024-11-21 17:49:08.793684,Mega
5426,Solana,SOL,244.7821322187417,116172794510.37886,2.39630922,8011100735.645195,2024-11-21 17:49:08.793684,Mega
1839,BNB,BNB,624.651328841556,89956438061.83934,1.41357434,2633845657.394221,2024-11-21 17:49:08.793684,Large
52,XRP,XRP,1.125939636905837,64101142141.99184,-0.263592,6645328479.1260605,2024-11-21 17:49:08.793684,Large
74,Dogecoin,DOGE,0.38861542993061177,57081445696.89452,-0.70888806,8649052708.639334,2024-11-21 17:49:08.793684,Large
3408,USDC,USDC,1.0001131418732907,37687158611.931274,0.04566834,13709875630.263239,2024-11-21 17:49:08.793684,Large
2010,Cardano,ADA,0.7901423392927689,27696804453.472626,-4.38452193,2674689585.8613853,2024-11-21 17:49:08.793684,Large
1958,TRON,TRX,0.1998783734385142,17260446210.129517,0.60538685,901356502.41294,2024-11-21 17:49:08.793684,Large
5994,Shiba Inu,SHIB,2.475964952870522e-05,14589883048.924408,0.91327708,1287444361.8726585,2024-11-21 17:49:08.793684,Large
5805,Avalanche,AVAX,35.346378782146736,14460034608.199413,2.01564847,860917126.7546854,2024-11-21 17:49:08.793684,Large
11419,Toncoin,TON,5.5219781521660165,14061114605.740395,2.36185604,509638862.2919597,2024-11-21 17:49:08.793684,Large
20947,Sui,SUI,3.5776613904992924,10181132390.576982,-3.99476212,1919476077.6557372,2024-11-21 17:49:08.793684,Large
1831,Bitcoin Cash,BCH,490.1127380870011,9700011118.165848,8.83949594,2024770039.4207633,2024-11-21 17:49:08.793684,Medium
1975,Chainlink,LINK,15.134194202986066,9486869188.968552,1.56452309,796679354.3925346,2024-11-21 17:49:08.793684,Medium
6636,Polkadot,DOT,5.870141851203553,8927078279.559675,-1.48550766,577451432.6668935,2024-11-21 17:49:08.793684,Medium
24478,Pepe,PEPE,2.1006965291893e-05,8837418127.949827,4.45144826,4927810423.931817,2024-11-21 17:49:08.793684,Medium
3957,UNUS SED LEO,LEO,8.835885992361016,8171454685.411367,4.82622489,1436912.21139508,2024-11-21 17:49:08.793684,Medium
512,Stellar,XLM,0.24207778298624896,7255831402.949688,-6.82796661,1313651615.9672968,2024-11-21 17:49:08.793684,Medium
6535,NEAR Protocol,NEAR,5.766207064589084,7022699074.967528,0.870306,648586262.4827634,2024-11-21 17:49:08.793684,Medium
2,Litecoin,LTC,89.32933568691703,6719435778.482643,3.20859628,1260233786.1472871,2024-11-21 17:49:08.793684,Medium
21794,Aptos,APT,12.17693966181511,6490679882.060295,0.61859897,629308488.9885197,2024-11-21 17:49:08.793684,Medium
7083,Uniswap,UNI,9.304311465723936,5586541897.628093,3.30957182,367789230.53352195,2024-11-21 17:49:08.793684,Medium
4943,Dai,DAI,1.0001160909458189,5366005575.017505,0.04652602,167822220.9860097,2024-11-21 17:49:08.793684,Medium
3635,Cronos,CRO,0.18066027622234787,4800425494.998242,0.27665329,83321828.65020429,2024-11-21 17:49:08.793684,Medium
4642,Hedera,HBAR,0.12125648379262588,4631860832.816714,-3.37167135,1112187443.2275717,2024-11-21 17:49:08.793684,Medium
8916,Internet Computer,ICP,9.335999434011072,4430475809.253183,0.35250946,209413740.85438585,2024-11-21 17:49:08.793684,Medium
1321,Ethereum Classic,ETC,27.63176882432497,4134754506.0326905,5.51198947,748556609.5418551,2024-11-21 17:49:08.793684,Medium
23095,Bonk,BONK,5.1410118485843516e-05,3860456396.2906537,-5.24562331,1929061745.7064273,2024-11-21 17:49:08.793684,Medium
5690,Render,RENDER,7.4541036758983354,3858920545.8513045,-5.98824294,1115337215.1770525,2024-11-21 17:49:08.793684,Medium
20396,Kaspa,KAS,0.15111201295205978,3805568381.4201913,-6.50797005,190636388.63447428,2024-11-21 17:49:08.793684,Medium
22974,Bittensor,TAO,498.8528982040752,3682001315.058794,4.10331158,379891366.3001371,2024-11-21 17:49:08.793684,Medium
28321,POL (ex-MATIC),POL,0.4514265509882394,3597274036.3081665,-0.54809153,416383889.5512101,2024-11-21 17:49:08.793684,Medium
11841,Arbitrum,ARB,0.8094212879318669,3316490260.1964183,16.54771058,1089747481.6185942,2024-11-21 17:49:08.793684,Medium
28752,dogwifhat,WIF,3.2865768501000527,3282780459.7813764,-0.43287587,943314923.1113626,2024-11-21 17:49:08.793684,Medium
6536,MANTRA,OM,3.442027714636124,3102403359.848002,-7.96083462,214649511.91067275,2024-11-21 17:49:08.793684,Medium
3773,Artificial Superintelligence Alliance,FET,1.2772006577692012,3110204932.624144,-0.72233894,390305688.32522225,2024-11-21 17:49:08.793684,Medium
328,Monero,XMR,159.8715742958565,2949110015.6967072,-0.60641475,69582385.43128432,2024-11-21 17:49:08.793684,Medium
4847,Stacks,STX,1.934244587210631,2904542715.7829666,3.64547322,353864355.479967,2024-11-21 17:49:08.793684,Medium
2280,Filecoin,FIL,4.567043141256871,2742461826.8693056,2.88782307,499079451.73476577,2024-11-21 17:49:08.793684,Medium
3897,OKB,OKB,45.289505456792874,2717370327.4075723,3.17464937,7453085.11834177,2024-11-21 17:49:08.793684,Medium
